,platform,searchTime,searchQuery,searchInteractionURIs
199,,2025-01-29T18:36:44.530Z[UTC],s,[]
200,WIN32_X86_64,2025-01-29T18:36:46.273Z[UTC],spongecol,[]
201,,2025-01-29T18:36:46.312Z[UTC],spongecol,[]
202,,2025-01-29T18:36:46.481Z[UTC],spongecola,[]
203,,2025-01-29T18:36:46.809Z[UTC],spongecola,[]
204,,2025-01-29T19:43:40.786Z[UTC],u,[]
205,WIN32_X86_64,2025-01-29T19:43:41.153Z[UTC],u,[]
206,WIN32_X86_64,2025-01-29T19:43:41.302Z[UTC],uta ,[]
207,,2025-01-29T19:43:41.337Z[UTC],uta ,[]
208,,2025-01-29T19:43:42.618Z[UTC],uta one piece,[]
209,,2025-01-29T19:43:42.890Z[UTC],uta one piece,[]
210,,2025-01-29T19:46:27.838Z[UTC],w,[]
211,,2025-01-29T19:46:27.997Z[UTC],w,[]
212,,2025-01-29T19:46:29.520Z[UTC],where the ,[]
213,WIN32_X86_64,2025-01-29T19:46:29.856Z[UTC],where the ,[]
214,,2025-01-29T19:46:30.131Z[UTC],where the wind,[]
215,,2025-01-29T19:46:30.416Z[UTC],where the wind,[]
216,,2025-01-29T19:46:30.489Z[UTC],where the wind ,[]
217,,2025-01-29T19:46:30.729Z[UTC],where the wind ,[]
218,,2025-01-29T19:46:31.464Z[UTC],where the wind blows,[]
219,,2025-01-29T19:46:31.754Z[UTC],where the wind blows,[]
220,,2025-01-29T19:46:31.866Z[UTC],where the wind blows ,[]
221,,2025-01-29T19:46:32.114Z[UTC],where the wind blows ,[]
222,,2025-01-29T19:46:32.702Z[UTC],where the wind blows a,[]
223,,2025-01-29T19:46:32.954Z[UTC],where the wind blows a,[]
224,WIN32_X86_64,2025-01-29T19:46:33.796Z[UTC],where the wind blows ado,[]
225,,2025-01-29T19:46:33.832Z[UTC],where the wind blows ado,[]
226,,2025-01-31T09:24:35.806Z[UTC],pow,[]
227,,2025-01-31T09:24:36.022Z[UTC],pow,[]
228,,2025-01-31T09:24:36.500Z[UTC],power,[]
229,,2025-01-31T09:24:36.697Z[UTC],power,[]
230,,2025-02-06T20:23:04.798Z[UTC],spanish,[]
231,,2025-02-06T20:23:04.994Z[UTC],spanish,[]
232,,2025-02-06T20:23:07.192Z[UTC],spanish e,[]
233,,2025-02-06T20:23:07.366Z[UTC],spanish e,[]
234,,2025-02-06T20:23:08.151Z[UTC],spanish eyes,[]
235,,2025-02-06T20:23:08.321Z[UTC],spanish eyes,[]
236,IPHONE,2025-02-07T00:53:54.795Z[UTC],one piec,[]
237,IPHONE,2025-02-07T01:32:11.668Z[UTC],jj reddick fl,['spotify:episode:0bDkp9ck0SvUwkXeoPB0Pk']
238,IPHONE,2025-02-07T01:32:47.151Z[UTC],luka doncic food,[]
239,,2025-02-07T15:40:06.690Z[UTC],spanis,[]
240,,2025-02-07T15:40:06.694Z[UTC],spanish,[]
241,,2025-02-07T15:40:06.938Z[UTC],spanish,[]
242,,2025-02-07T15:40:06.973Z[UTC],spanis,[]
243,,2025-02-07T15:40:09.168Z[UTC],spanish ,[]
244,,2025-02-07T15:40:09.368Z[UTC],spanish ,[]
